tdate,CAC,AEX,SPX,DAX,HSI,IBEX,NKY,TSX,OMX,SG,SMI,MIB,AS51,FTSE
2012-11-05,0.0,0.07071130152692719,-0.07071130152692719,0.07071130152692719,0.0,-0.07071130152692719,-0.07071130152692719,0.0,-0.07071130152692719,0.0,0.07071130152692719,0.07071130152692719,0.07071130152692719,-0.07071130152692719
2012-11-06,0.0,0.07535804736500902,-0.07535804736500902,0.07535804736500902,0.0,-0.07535804736500902,-0.07535804736500902,0.0,-0.07535804736500902,0.0,0.07535804736500902,0.07535804736500902,0.07535804736500902,-0.07535804736500902
2012-11-07,0.0,0.07535804736500902,-0.07535804736500902,0.07535804736500902,0.0,-0.07535804736500902,-0.07535804736500902,0.0,-0.07535804736500902,0.0,0.07535804736500902,0.07535804736500902,0.07535804736500902,-0.07535804736500902
2012-11-08,0.0,0.07535804736500902,-0.07535804736500902,0.07535804736500902,0.0,-0.07535804736500902,-0.07535804736500902,0.0,-0.07535804736500902,0.0,0.07535804736500902,0.07535804736500902,0.07535804736500902,-0.07535804736500902
2012-11-09,0.0,0.07535804736500902,-0.07535804736500902,0.07535804736500902,0.0,-0.07535804736500902,-0.07535804736500902,0.0,-0.07535804736500902,0.0,0.07535804736500902,0.07535804736500902,0.07535804736500902,-0.07535804736500902
2012-11-12,0.0,0.07535804736500902,-0.07535804736500902,0.07535804736500902,0.0,-0.07535804736500902,-0.07535804736500902,0.0,-0.07535804736500902,0.0,0.07535804736500902,0.07535804736500902,0.07535804736500902,-0.07535804736500902
2012-11-13,0.0,0.07535804736500902,-0.07535804736500902,0.07535804736500902,0.0,-0.07535804736500902,-0.07535804736500902,0.0,-0.07535804736500902,0.0,0.07535804736500902,0.07535804736500902,0.07535804736500902,-0.07535804736500902
2012-11-14,0.0,0.07535804736500902,-0.07535804736500902,0.07535804736500902,0.0,-0.07535804736500902,-0.07535804736500902,0.0,-0.07535804736500902,0.0,0.07535804736500902,0.07535804736500902,0.07535804736500902,-0.07535804736500902
2012-11-15,0.0,0.07535804736500902,-0.07535804736500902,0.07535804736500902,0.0,-0.07535804736500902,-0.07535804736500902,0.0,-0.07535804736500902,0.0,0.07535804736500902,0.07535804736500902,0.07535804736500902,-0.07535804736500902
2012-11-16,0.0,0.07535804736500902,-0.07535804736500902,0.07535804736500902,0.0,-0.07535804736500902,-0.07535804736500902,0.0,-0.07535804736500902,0.0,0.07535804736500902,0.07535804736500902,0.07535804736500902,-0.07535804736500902
2012-11-19,0.0,0.07535804736500902,-0.07535804736500902,0.07535804736500902,0.0,-0.07535804736500902,-0.07535804736500902,0.0,-0.07535804736500902,0.0,0.07535804736500902,0.07535804736500902,0.07535804736500902,-0.07535804736500902
2012-11-20,0.0,0.06939917418001976,-0.06939917418001976,0.06939917418001976,0.0,-0.06939917418001976,-0.06939917418001976,0.0,-0.06939917418001976,0.0,0.06939917418001976,0.06939917418001976,0.06939917418001976,-0.06939917418001976
2012-11-21,0.0,0.06939917418001976,-0.06939917418001976,0.06939917418001976,0.0,-0.06939917418001976,-0.06939917418001976,0.0,-0.06939917418001976,0.0,0.06939917418001976,0.06939917418001976,0.06939917418001976,-0.06939917418001976
2012-11-22,0.0,0.06939917418001976,-0.06939917418001976,0.06939917418001976,0.0,-0.06939917418001976,-0.06939917418001976,0.0,-0.06939917418001976,0.0,0.06939917418001976,0.06939917418001976,0.06939917418001976,-0.06939917418001976
2012-11-23,0.0,0.06939917418001976,-0.06939917418001976,0.06939917418001976,0.0,-0.06939917418001976,-0.06939917418001976,0.0,-0.06939917418001976,0.0,0.06939917418001976,0.06939917418001976,0.06939917418001976,-0.06939917418001976
2012-11-26,0.0,0.06939917418001976,-0.06939917418001976,0.06939917418001976,0.0,-0.06939917418001976,-0.06939917418001976,0.0,-0.06939917418001976,0.0,0.06939917418001976,0.06939917418001976,0.06939917418001976,-0.06939917418001976
2012-11-27,0.0,0.06939917418001976,-0.06939917418001976,0.06939917418001976,0.0,-0.06939917418001976,-0.06939917418001976,0.0,-0.06939917418001976,0.0,0.06939917418001976,0.06939917418001976,0.06939917418001976,-0.06939917418001976
2012-11-28,0.0,0.06939917418001976,-0.06939917418001976,0.06939917418001976,0.0,-0.06939917418001976,-0.06939917418001976,0.0,-0.06939917418001976,0.0,0.06939917418001976,0.06939917418001976,0.06939917418001976,-0.06939917418001976
2012-11-29,0.0,0.06939917418001976,-0.06939917418001976,0.06939917418001976,0.0,-0.06939917418001976,-0.06939917418001976,0.0,-0.06939917418001976,0.0,0.06939917418001976,0.06939917418001976,0.06939917418001976,-0.06939917418001976
2012-11-30,0.0,0.07080007685507732,-0.07080007685507732,0.07080007685507732,0.0,-0.07080007685507732,-0.07080007685507732,0.0,-0.07080007685507732,0.0,0.07080007685507732,0.07080007685507732,0.07080007685507732,-0.07080007685507732
2012-12-03,0.0,0.07080007685507732,-0.07080007685507732,0.07080007685507732,0.0,-0.07080007685507732,-0.07080007685507732,0.0,-0.07080007685507732,0.0,0.07080007685507732,0.07080007685507732,0.07080007685507732,-0.07080007685507732
2012-12-04,0.0,0.07080007685507732,-0.07080007685507732,0.07080007685507732,0.0,-0.07080007685507732,-0.07080007685507732,0.0,-0.07080007685507732,0.0,0.07080007685507732,0.07080007685507732,0.07080007685507732,-0.07080007685507732
2012-12-05,0.0,0.07080007685507732,-0.07080007685507732,0.07080007685507732,0.0,-0.07080007685507732,-0.07080007685507732,0.0,-0.07080007685507732,0.0,0.07080007685507732,0.07080007685507732,0.07080007685507732,-0.07080007685507732
2012-12-06,0.0,0.07080007685507732,-0.07080007685507732,0.07080007685507732,0.0,-0.07080007685507732,-0.07080007685507732,0.0,-0.07080007685507732,0.0,0.07080007685507732,0.07080007685507732,0.07080007685507732,-0.07080007685507732
2012-12-07,0.0,0.07080007685507732,-0.07080007685507732,0.07080007685507732,0.0,-0.07080007685507732,-0.07080007685507732,0.0,-0.07080007685507732,0.0,0.07080007685507732,0.07080007685507732,0.07080007685507732,-0.07080007685507732
2012-12-10,0.0,0.07080007685507732,-0.07080007685507732,0.07080007685507732,0.0,-0.07080007685507732,-0.07080007685507732,0.0,-0.07080007685507732,0.0,0.07080007685507732,0.07080007685507732,0.07080007685507732,-0.07080007685507732
2012-12-11,0.0,0.07080007685507732,-0.07080007685507732,0.07080007685507732,0.0,-0.07080007685507732,-0.07080007685507732,0.0,-0.07080007685507732,0.0,0.07080007685507732,0.07080007685507732,0.07080007685507732,-0.07080007685507732
2012-12-12,0.0,0.07080007685507732,-0.07080007685507732,0.07080007685507732,0.0,-0.07080007685507732,-0.07080007685507732,0.0,-0.07080007685507732,0.0,0.07080007685507732,0.07080007685507732,0.07080007685507732,-0.07080007685507732
2012-12-13,0.0,0.07080007685507732,-0.07080007685507732,0.07080007685507732,0.0,-0.07080007685507732,-0.07080007685507732,0.0,-0.07080007685507732,0.0,0.07080007685507732,0.07080007685507732,0.07080007685507732,-0.07080007685507732
2012-12-14,0.0,0.07080007685507732,-0.07080007685507732,0.07080007685507732,0.0,-0.07080007685507732,-0.07080007685507732,0.0,-0.07080007685507732,0.0,0.07080007685507732,0.07080007685507732,0.07080007685507732,-0.07080007685507732
2012-12-17,0.0,0.07080007685507732,-0.07080007685507732,0.07080007685507732,0.0,-0.07080007685507732,-0.07080007685507732,0.0,-0.07080007685507732,0.0,0.07080007685507732,0.07080007685507732,0.07080007685507732,-0.07080007685507732
2012-12-18,0.0,0.07559467521988487,-0.07559467521988487,0.07559467521988487,0.0,-0.07559467521988487,-0.07559467521988487,0.0,-0.07559467521988487,0.0,0.07559467521988487,0.07559467521988487,0.07559467521988487,-0.07559467521988487
2012-12-19,0.0,0.07559467521988487,-0.07559467521988487,0.07559467521988487,0.0,-0.07559467521988487,-0.07559467521988487,0.0,-0.07559467521988487,0.0,0.07559467521988487,0.07559467521988487,0.07559467521988487,-0.07559467521988487
2012-12-20,0.0,0.07559467521988487,-0.07559467521988487,0.07559467521988487,0.0,-0.07559467521988487,-0.07559467521988487,0.0,-0.07559467521988487,0.0,0.07559467521988487,0.07559467521988487,0.07559467521988487,-0.07559467521988487
2012-12-21,0.0,0.07559467521988487,-0.07559467521988487,0.07559467521988487,0.0,-0.07559467521988487,-0.07559467521988487,0.0,-0.07559467521988487,0.0,0.07559467521988487,0.07559467521988487,0.07559467521988487,-0.07559467521988487
2012-12-24,0.0,0.07559467521988487,-0.07559467521988487,0.07559467521988487,0.0,-0.07559467521988487,-0.07559467521988487,0.0,-0.07559467521988487,0.0,0.07559467521988487,0.07559467521988487,0.07559467521988487,-0.07559467521988487
2012-12-25,0.0,0.07559467521988487,-0.07559467521988487,0.07559467521988487,0.0,-0.07559467521988487,-0.07559467521988487,0.0,-0.07559467521988487,0.0,0.07559467521988487,0.07559467521988487,0.07559467521988487,-0.07559467521988487
2012-12-26,0.0,0.07559467521988487,-0.07559467521988487,0.07559467521988487,0.0,-0.07559467521988487,-0.07559467521988487,0.0,-0.07559467521988487,0.0,0.07559467521988487,0.07559467521988487,0.07559467521988487,-0.07559467521988487
2012-12-27,0.0,0.07559467521988487,-0.07559467521988487,0.07559467521988487,0.0,-0.07559467521988487,-0.07559467521988487,0.0,-0.07559467521988487,0.0,0.07559467521988487,0.07559467521988487,0.07559467521988487,-0.07559467521988487
2012-12-28,0.0,0.07559467521988487,-0.07559467521988487,0.07559467521988487,0.0,-0.07559467521988487,-0.07559467521988487,0.0,-0.07559467521988487,0.0,0.07559467521988487,0.07559467521988487,0.07559467521988487,-0.07559467521988487
2012-12-31,-0.07817952495454009,0.0,-0.07817952495454009,0.07817952495454009,0.07817952495454009,-0.07817952495454009,-0.07817952495454009,0.0,0.07817952495454009,0.0,0.07817952495454009,0.07817952495454009,0.0,-0.07817952495454009
2013-01-01,-0.07817952495454009,0.0,-0.07817952495454009,0.07817952495454009,0.07817952495454009,-0.07817952495454009,-0.07817952495454009,0.0,0.07817952495454009,0.0,0.07817952495454009,0.07817952495454009,0.0,-0.07817952495454009
2013-01-02,-0.07817952495454009,0.0,-0.07817952495454009,0.07817952495454009,0.07817952495454009,-0.07817952495454009,-0.07817952495454009,0.0,0.07817952495454009,0.0,0.07817952495454009,0.07817952495454009,0.0,-0.07817952495454009
2013-01-03,-0.07817952495454009,0.0,-0.07817952495454009,0.07817952495454009,0.07817952495454009,-0.07817952495454009,-0.07817952495454009,0.0,0.07817952495454009,0.0,0.07817952495454009,0.07817952495454009,0.0,-0.07817952495454009
2013-01-04,-0.07817952495454009,0.0,-0.07817952495454009,0.07817952495454009,0.07817952495454009,-0.07817952495454009,-0.07817952495454009,0.0,0.07817952495454009,0.0,0.07817952495454009,0.07817952495454009,0.0,-0.07817952495454009
2013-01-07,-0.07817952495454009,0.0,-0.07817952495454009,0.07817952495454009,0.07817952495454009,-0.07817952495454009,-0.07817952495454009,0.0,0.07817952495454009,0.0,0.07817952495454009,0.07817952495454009,0.0,-0.07817952495454009
2013-01-08,-0.07817952495454009,0.0,-0.07817952495454009,0.07817952495454009,0.07817952495454009,-0.07817952495454009,-0.07817952495454009,0.0,0.07817952495454009,0.0,0.07817952495454009,0.07817952495454009,0.0,-0.07817952495454009
2013-01-09,-0.07817952495454009,0.0,-0.07817952495454009,0.07817952495454009,0.07817952495454009,-0.07817952495454009,-0.07817952495454009,0.0,0.07817952495454009,0.0,0.07817952495454009,0.07817952495454009,0.0,-0.07817952495454009
2013-01-10,-0.07817952495454009,0.0,-0.07817952495454009,0.07817952495454009,0.07817952495454009,-0.07817952495454009,-0.07817952495454009,0.0,0.07817952495454009,0.0,0.07817952495454009,0.07817952495454009,0.0,-0.07817952495454009
2013-01-11,-0.07817952495454009,0.0,-0.07817952495454009,0.07817952495454009,0.07817952495454009,-0.07817952495454009,-0.07817952495454009,0.0,0.07817952495454009,0.0,0.07817952495454009,0.07817952495454009,0.0,-0.07817952495454009
2013-01-14,-0.07817952495454009,0.0,-0.07817952495454009,0.07817952495454009,0.07817952495454009,-0.07817952495454009,-0.07817952495454009,0.0,0.07817952495454009,0.0,0.07817952495454009,0.07817952495454009,0.0,-0.07817952495454009
2013-01-15,-0.07817952495454009,0.0,-0.07817952495454009,0.07817952495454009,0.07817952495454009,-0.07817952495454009,-0.07817952495454009,0.0,0.07817952495454009,0.0,0.07817952495454009,0.07817952495454009,0.0,-0.07817952495454009
2013-01-16,-0.07817952495454009,0.0,-0.07817952495454009,0.07817952495454009,0.07817952495454009,-0.07817952495454009,-0.07817952495454009,0.0,0.07817952495454009,0.0,0.07817952495454009,0.07817952495454009,0.0,-0.07817952495454009
2013-01-17,-0.07817952495454009,0.0,-0.07817952495454009,0.07817952495454009,0.07817952495454009,-0.07817952495454009,-0.07817952495454009,0.0,0.07817952495454009,0.0,0.07817952495454009,0.07817952495454009,0.0,-0.07817952495454009
2013-01-18,-0.07817952495454009,0.0,-0.07817952495454009,0.07817952495454009,0.07817952495454009,-0.07817952495454009,-0.07817952495454009,0.0,0.07817952495454009,0.0,0.07817952495454009,0.07817952495454009,0.0,-0.07817952495454009
2013-01-21,-0.07817952495454009,0.0,-0.07817952495454009,0.07817952495454009,0.07817952495454009,-0.07817952495454009,-0.07817952495454009,0.0,0.07817952495454009,0.0,0.07817952495454009,0.07817952495454009,0.0,-0.07817952495454009
2013-01-22,-0.07248403966379367,0.0,-0.07248403966379367,0.07248403966379367,0.07248403966379367,-0.07248403966379367,-0.07248403966379367,0.0,0.07248403966379367,0.0,0.07248403966379367,0.07248403966379367,0.0,-0.07248403966379367
2013-01-23,-0.07248403966379367,0.0,-0.07248403966379367,0.07248403966379367,0.07248403966379367,-0.07248403966379367,-0.07248403966379367,0.0,0.07248403966379367,0.0,0.07248403966379367,0.07248403966379367,0.0,-0.07248403966379367
2013-01-24,-0.07248403966379367,0.0,-0.07248403966379367,0.07248403966379367,0.07248403966379367,-0.07248403966379367,-0.07248403966379367,0.0,0.07248403966379367,0.0,0.07248403966379367,0.07248403966379367,0.0,-0.07248403966379367
2013-01-25,-0.07248403966379367,0.0,-0.07248403966379367,0.07248403966379367,0.07248403966379367,-0.07248403966379367,-0.07248403966379367,0.0,0.07248403966379367,0.0,0.07248403966379367,0.07248403966379367,0.0,-0.07248403966379367
2013-01-28,-0.07248403966379367,0.0,-0.07248403966379367,0.07248403966379367,0.07248403966379367,-0.07248403966379367,-0.07248403966379367,0.0,0.07248403966379367,0.0,0.07248403966379367,0.07248403966379367,0.0,-0.07248403966379367
